"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
115,182.4,"PIEN",12.446,0.0121660465731309,"c0065",5,"5-9 trees",3979,56.4998994121704
24.1,183.1,"PSME",9.144,0.00656692892910357,"b0092",2,"2-4 trees",3994,34.4999088632196
68.6,183.1,"PIPO",54.61,0.234225532212818,"b0112",4,"2-4 trees",3995,602.054050319612
159.9,183.4,"PIEN",6.35,0.00316692174435936,"c0064",9,"5-9 trees",3999,19.2503203210012
131.4,183.9,"PSME",13.208,0.0137013702347963,"b0138",3,"2-4 trees",4006,62.1354283185709
22,184,"PIPU",6.096,0.00291863507960159,"b0092",2,"2-4 trees",4007,18.0331640413536
129.7,184.4,"PIPO",48.514,0.184851955449558,"b0138",3,"2-4 trees",4017,498.181199733891
115.9,184.6,"PIEN",2.032,0.000324292786622399,"c0065",5,"5-9 trees",4018,3.1094095334738
140.3,185.2,"PIEN",10.414,0.00851775272362894,"a0192",1,"single",4029,42.4803530379405
133.4,185.4,"POTR",16.256,0.0207547383438335,"b0138",3,"2-4 trees",4031,86.6207430682866
102.7,185.9,"PIPU",7.62,0.00456036731187748,"b0165",4,"2-4 trees",4040,25.7708031823288
9.3,186.4,"PSME",38.862,0.118615153781933,"a0211",1,"single",4046,349.333500619765
101.7,187.2,"PIPU",18.796,0.027747301555379,"b0165",4,"2-4 trees",4059,109.270944796459
102.3,187.7,"PIPU",4.826,0.00182921399954197,"b0165",4,"2-4 trees",4068,12.4090835343443
78.1,188.3,"PIFL2",22.606,0.0401362994193128,"c0049",6,"5-9 trees",4077,146.810783773453
193.2,188.5,"POTR",19.304,0.0292674239926715,"c0060",8,"5-9 trees",4082,114.034350743377
80.4,188.6,"PIEN",21.844,0.0374760851540509,"c0049",6,"5-9 trees",4083,138.973331479546
168.3,189.1,"PIEN",2.794,0.000613116049707972,"b0149",4,"2-4 trees",4091,5.17561833654136
71.3,189.9,"PIEN",30.988,0.0754183411888716,"b0161",4,"2-4 trees",4103,243.169821321542
103.3,189.9,"POTR",15.494,0.0188545852972179,"b0165",4,"2-4 trees",4104,80.2161257237514
67.1,190.5,"POTR",21.844,0.0374760851540509,"b0161",4,"2-4 trees",4115,138.973331479546
42.4,190.6,"PSME",11.43,0.0102608264517243,"b0146",4,"2-4 trees",4117,49.3030706693208
40.3,190.8,"PSME",17.526,0.0241243430798319,"b0146",4,"2-4 trees",4119,97.6995338905438
176.5,191,"PIPU",16.002,0.0201112198453797,"d0014",12,"10-15 trees",4122,84.4653966240764
164,191.2,"POTR",15.748,0.0194778354965078,"b0149",4,"2-4 trees",4127,82.3304804480007
197,191.2,"PSME",12.7,0.0126676869774374,"c0060",8,"5-9 trees",4128,58.3560588423466
128.5,191.3,"PSME",1.524,0.000182414692475099,"c0034",8,"5-9 trees",4133,1.96234763927647
163.8,191.3,"POTR",21.336,0.0357532797251194,"b0149",4,"2-4 trees",4134,133.838421009024
126.7,191.4,"PIEN",8.636,0.00585753845836707,"c0034",8,"5-9 trees",4135,31.4847474378953
78.9,191.5,"POTR",13.462,0.0142334130878487,"c0049",6,"5-9 trees",4136,64.0582895158179
125.2,191.5,"PIEN",20.32,0.0324292786622399,"c0034",8,"5-9 trees",4137,123.787823146332
146.5,191.5,"PIPO",3.556,0.000993146659031096,"b0098",2,"2-4 trees",4139,7.61270154517849
147.1,191.5,"PIPO",37.592,0.110989206221516,"b0098",2,"2-4 trees",4140,331.247562532473
125.6,191.6,"PIPO",41.91,0.137951111184294,"c0034",8,"5-9 trees",4142,394.192409507892
78.2,191.7,"PIEN",9.144,0.00656692892910357,"c0049",6,"5-9 trees",4144,34.4999088632196
175.7,191.8,"PIPU",3.048,0.000729658769900397,"d0014",12,"10-15 trees",4148,5.94872565220784
128.7,192.1,"PIEN",14.224,0.0158903465444975,"c0034",8,"5-9 trees",4152,69.9575819362394
176.4,192.1,"PSME",3.81,0.00114009182796937,"d0014",12,"10-15 trees",4154,8.50119466651352
192.4,192.3,"PSME",1.778,0.000248286664757774,"c0060",8,"5-9 trees",4157,2.51125497780401
43.5,192.5,"PSME",14.224,0.0158903465444975,"b0146",4,"2-4 trees",4158,69.9575819362394
179.8,192.7,"PIFL2",9.144,0.00656692892910357,"d0014",12,"10-15 trees",4163,34.4999088632196
